Name,Year,OscarWon,OscarLost,SAGWon,SAGLost,GGDramaWon,GGDramaLost,GGMusicalWon,GGMusicalLost,CCWon,CCLost,BAFTAWon,BAFTALost
Michael Caine,2002,0,1,0,0,0,1,0,0,0,0,0,1
Nicolas Cage,2002,0,1,0,1,0,0,0,1,0,0,0,1
Adrien Brody,2002,1,0,0,1,0,1,0,0,0,0,0,1
Daniel Day-Lewis,2002,0,1,1,0,0,1,0,0,0,0,1,0
Jack Nicholson,2002,0,1,0,1,1,0,0,0,0,0,0,1
Johnny Depp,2003,0,1,1,0,0,0,0,1,0,1,0,1
Sean Penn,2003,1,0,0,1,1,0,0,0,1,0,0,1
Bill Murray,2003,0,1,0,1,0,0,1,0,0,1,1,0
Jude Law,2003,0,1,0,0,0,1,0,0,0,0,0,1
Ben Kingsley,2003,0,1,0,1,0,1,0,0,0,1,0,0
Don Cheadle,2004,0,1,0,1,0,1,0,0,0,1,0,0
Johnny Depp,2004,0,1,0,1,0,1,0,0,0,1,0,1
Jamie Foxx,2004,1,0,1,0,0,0,1,0,1,0,1,0
Leonardo DiCaprio,2004,0,1,0,1,1,0,0,0,0,1,0,1
Clint Eastwood,2004,0,1,0,0,0,0,0,0,0,0,0,0
David Strathairn,2005,0,1,0,1,0,1,0,0,0,1,0,1
Joaquin Phoenix,2005,0,1,0,1,0,0,1,0,0,1,0,1
Heath Ledger,2005,0,1,0,1,0,1,0,0,0,1,0,1
Terrence Howard,2005,0,1,0,0,0,1,0,0,0,1,0,0
Philip Seymour Hoffman,2005,1,0,1,0,1,0,0,0,1,0,1,0
Forest Whitaker,2006,1,0,1,0,1,0,0,0,1,0,1,0
Ryan Gosling,2006,0,1,0,1,0,0,0,0,0,1,0,0
Leonardo DiCaprio,2006,0,1,0,1,0,1,0,0,0,1,0,1
Peter O'Toole,2006,0,1,0,1,0,1,0,0,0,1,0,1
Will Smith,2006,0,1,0,1,0,1,0,0,0,1,0,0
Daniel Day-Lewis,2007,1,0,1,0,1,0,0,0,1,0,1,0
Johnny Depp,2007,0,1,0,0,0,0,1,0,0,1,0,0
George Clooney,2007,0,1,0,1,0,1,0,0,0,1,0,1
Tommy Lee Jones,2007,0,1,0,0,0,0,0,0,0,0,0,0
Viggo Mortensen,2007,0,1,0,1,0,1,0,0,0,1,0,1
Richard Jenkins,2008,0,1,0,1,0,0,0,0,0,1,0,0
Frank Langella,2008,0,1,0,1,0,1,0,0,0,1,0,1
Mickey Rourke,2008,0,1,0,1,1,0,0,0,0,1,1,0
Sean Penn,2008,1,0,1,0,0,1,0,0,1,0,0,1
Brad Pitt,2008,0,1,0,1,0,1,0,0,0,1,0,1
Morgan Freeman,2009,0,1,0,1,0,1,0,0,0,1,0,0
Jeremy Renner,2009,0,1,0,1,0,0,0,0,0,1,0,1
Colin Firth,2009,0,1,0,1,0,1,0,0,0,1,1,0
George Clooney,2009,0,1,0,1,0,1,0,0,0,1,0,1
Jeff Bridges,2009,1,0,1,0,1,0,0,0,1,0,0,1
Javier Bardem,2010,0,1,0,0,0,0,0,0,0,0,0,1
Colin Firth,2010,1,0,1,0,1,0,0,0,1,0,1,0
James Franco,2010,0,1,0,1,0,1,0,0,0,1,0,1
Jeff Bridges,2010,0,1,0,1,0,0,0,0,0,1,0,1
Jesse Eisenberg,2010,0,1,0,1,0,1,0,0,0,1,0,1
Demián Bichir,2011,0,1,0,1,0,0,0,0,0,0,0,0
Brad Pitt,2011,0,1,0,1,0,1,0,0,0,1,0,1
Gary Oldman,2011,0,1,0,0,0,0,0,0,0,0,0,1
George Clooney,2011,0,1,0,1,1,0,0,0,1,0,0,1
Jean Dujardin,2011,1,0,1,0,0,0,1,0,0,1,1,0
Joaquin Phoenix,2012,0,1,0,0,0,1,0,0,0,1,0,1
Hugh Jackman,2012,0,1,0,1,0,0,1,0,0,1,0,1
Daniel Day-Lewis,2012,1,0,1,0,1,0,0,0,1,0,1,0
Bradley Cooper,2012,0,1,0,1,0,0,0,1,0,1,0,1
Denzel Washington,2012,0,1,0,1,0,1,0,0,0,1,0,0
Matthew McConaughey,2013,1,0,1,0,1,0,0,0,1,0,0,0
Chiwetel Ejiofor,2013,0,1,0,1,0,1,0,0,0,1,1,0
Bruce Dern,2013,0,1,0,1,0,0,0,1,0,1,0,1
Leonardo DiCaprio,2013,0,1,0,0,0,0,1,0,0,0,0,1
Christian Bale,2013,0,1,0,0,0,0,0,1,0,1,0,1
