Adrien Brody
Nicolas Cage
Michael Caine
Daniel Day-Lewis
Jack Nicholson
Sean Penn
Johnny Depp
Ben Kingsley
Jude Law
Bill Murray
Jamie Foxx
Don Cheadle
Johnny Depp
Leonardo DiCaprio
Clint Eastwood
Philip Seymour Hoffman
Terrence Howard
Heath Ledger
Joaquin Phoenix
David Strathairn
Forest Whitaker
Leonardo DiCaprio
Ryan Gosling
Peter O'Toole
Will Smith
Daniel Day-Lewis
George Clooney
Johnny Depp
Tommy Lee Jones
Viggo Mortensen
Sean Penn
Richard Jenkins
Frank Langella
Brad Pitt
Mickey Rourke
Jeff Bridges
George Clooney
Colin Firth
Morgan Freeman
Jeremy Renner
Colin Firth
Javier Bardem
Jeff Bridges
Jesse Eisenberg
James Franco
Jean Dujardin
Demián Bichir
George Clooney
Gary Oldman
Brad Pitt
Daniel Day-Lewis
Bradley Cooper
Hugh Jackman
Joaquin Phoenix
Denzel Washington
Matthew McConaughey
Christian Bale
Bruce Dern
Leonardo DiCaprio
Chiwetel Ejiofor
Eddie Redmayne
Steve Carell
Bradley Cooper
Benedict Cumberbatch
Michael Keaton
Leonardo DiCaprio
Bryan Cranston
Matt Damon
Michael Fassbender
Eddie Redmayne
Casey Affleck
Andrew Garfield
Ryan Gosling
Viggo Mortensen
Denzel Washington
