"","Name","pred.probs","OscarWon","Year"
"1","Michael Caine",0.00711011599344345,0,2002
"2","Nicolas Cage",0.00711011599344345,0,2002
"3","Adrien Brody",0.00711011599344345,1,2002
"4","Daniel Day-Lewis",0.46403961891798,0,2002
"5","Jack Nicholson",0.0441639292278748,0,2002
"6","Johnny Depp",0.166768901324874,0,2003
"7","Sean Penn",0.56832597276483,1,2003
"8","Bill Murray",0.0541240589352235,0,2003
"9","Jude Law",0.00711011599344345,0,2003
"10","Ben Kingsley",0.00711011599344345,0,2003
"11","Don Cheadle",0.00711011599344345,0,2004
"12","Johnny Depp",0.00711011599344345,0,2004
"13","Jamie Foxx",0.978527357162129,1,2004
"14","Leonardo DiCaprio",0.0441639292278748,0,2004
"15","David Strathairn",0.00711011599344345,0,2005
"16","Joaquin Phoenix",0.0130549844807693,0,2005
"17","Heath Ledger",0.00711011599344345,0,2005
"18","Terrence Howard",0.00711011599344345,0,2005
"19","Philip Seymour Hoffman",0.993757021333622,1,2005
"20","Forest Whitaker",0.993757021333622,1,2006
"21","Ryan Gosling",0.00711011599344345,0,2006
"22","Leonardo DiCaprio",0.00711011599344345,0,2006
"23","Peter O'Toole",0.00711011599344345,0,2006
"24","Will Smith",0.00711011599344345,0,2006
"25","Daniel Day-Lewis",0.993757021333622,1,2007
"26","Johnny Depp",0.0130549844807693,0,2007
"27","George Clooney",0.00711011599344345,0,2007
"28","Viggo Mortensen",0.00711011599344345,0,2007
"29","Richard Jenkins",0.00711011599344345,0,2008
"30","Frank Langella",0.00711011599344345,0,2008
"31","Mickey Rourke",0.166579401397794,0,2008
"32","Sean Penn",0.850814097739017,1,2008
"33","Brad Pitt",0.00711011599344345,0,2008
"34","Morgan Freeman",0.00711011599344345,0,2009
"35","Jeremy Renner",0.00711011599344345,0,2009
"36","Colin Firth",0.0300468624875918,0,2009
"37","George Clooney",0.00711011599344345,0,2009
"38","Jeff Bridges",0.97354306172995,1,2009
"39","Javier Bardem",0.00711011599344345,0,2010
"40","Colin Firth",0.993757021333622,1,2010
"41","James Franco",0.00711011599344345,0,2010
"42","Jeff Bridges",0.00711011599344345,0,2010
"43","Jesse Eisenberg",0.00711011599344345,0,2010
"44","Demián Bichir",0.00711011599344345,0,2011
"45","Brad Pitt",0.00711011599344345,0,2011
"46","Gary Oldman",0.00711011599344345,0,2011
"47","George Clooney",0.56832597276483,0,2011
"48","Jean Dujardin",0.615281167457157,1,2011
"49","Joaquin Phoenix",0.00711011599344345,0,2012
"50","Hugh Jackman",0.0130549844807693,0,2012
"51","Daniel Day-Lewis",0.993757021333622,1,2012
"52","Bradley Cooper",0.00711011599344345,0,2012
"53","Denzel Washington",0.00711011599344345,0,2012
"54","Matthew McConaughey",0.97354306172995,1,2013
"55","Chiwetel Ejiofor",0.0300468624875918,0,2013
"56","Bruce Dern",0.00711011599344345,0,2013
"57","Leonardo DiCaprio",0.0130549844807693,0,2013
"58","Christian Bale",0.00711011599344345,0,2013
"59","Steve Carell",0.00711011599344345,0,2014
"60","Eddie Redmayne",0.848171704610017,1,2014
"61","Benedict Cumberbatch",0.00711011599344345,0,2014
"62","Michael Keaton",0.273737509561902,0,2014
"63","Matt Damon",0.0130549844807693,0,2015
"64","Bryan Cranston",0.00711011599344345,0,2015
"65","Eddie Redmayne",0.00711011599344345,0,2015
"66","Michael Fassbender",0.00711011599344345,0,2015
"67","Leonardo DiCaprio",0.993757021333622,1,2015
"68","Andrew Garfield",0.00711011599344345,0,2016
"69","Viggo Mortensen",0.00711011599344345,0,2016
"70","Denzel Washington",0.166768901324874,0,2016
"71","Casey Affleck",0.850640838543509,1,2016
"72","Ryan Gosling",0.0130549844807693,0,2016
