2002,Julianne Moore
2002,Salma Hayek
2002,Nicole Kidman
2002,Diane Lane
2003,Charlize Theron
2003,Jennifer Connelly
2003,Diane Keaton
2003,Nicole Kidman
2003,Samantha Morton
2003,Naomi Watts
2004,Hilary Swank
2004,Annette Bening
2004,Catalina Sandino Moreno
2004,Imelda Staunton
2004,Kate Winslet
2004,Uma Thurman
2005,Reese Witherspoon
2005,Joan Allen
2005,Judi Dench
2005,Felicity Huffman
2005,Keira Knightley
2005,Charlize Theron
2006,Helen Mirren
2006,Penélope Cruz
2006,Judi Dench
2006,Meryl Streep
2006,Kate Winslet
2007,Julie Christie
2007,Amy Adams
2007,Cate Blanchett
2007,Marion Cotillard
2007,Angelina Jolie
2007,Ellen Page
2008,Anne Hathaway (TIE)
2008,Meryl Streep (TIE)
2008,Kate Beckinsale
2008,Cate Blanchett
2008,Angelina Jolie
2008,Melissa Leo
2009,Sandra Bullock (TIE)
2009,Meryl Streep (TIE)
2009,Emily Blunt
2009,Carey Mulligan
2009,Saoirse Ronan
2009,Gabourey Sidibe
2010,Natalie Portman
2010,Annette Bening
2010,Nicole Kidman
2010,Jennifer Lawrence
2010,Michelle Williams
2010,Noomi Rapace
2011,Viola Davis
2011,Elizabeth Olsen
2011,Meryl Streep
2011,Charlize Theron
2011,Tilda Swinton
2011,Michelle Williams
2012,Jessica Chastain
2012,Marion Cotillard
2012,Jennifer Lawrence
2012,Emmanuelle Riva
2012,Quvenzhané Wallis
2012,Naomi Watts
2013,Cate Blanchett
2013,Sandra Bullock
2013,Judi Dench
2013,Brie Larson
2013,Meryl Streep
2013,Emma Thompson
2014,Julianne Moore
2014,Jennifer Aniston
2014,Marion Cotillard
2014,Felicity Jones
2014,Rosamund Pike
2014,Reese Witherspoon
2015,Brie Larson
2015,Cate Blanchett
2015,Jennifer Lawrence
2015,Charlotte Rampling
2015,Saoirse Ronan
2015,Charlize Theron
2016,Natalie Portman
2016,Amy Adams
2016,Annette Bening
2016,Isabelle Huppert
2016,Ruth Negga
2016,Emma Stone
