2002,Renée Zellweger
2002,Maggie Gyllenhaal
2002,Goldie Hawn
2002,Nia Vardalos
2002,Catherine Zeta-Jones
2003,Diane Keaton
2003,Jamie Lee Curtis
2003,Scarlett Johansson
2003,Diane Lane
2003,Helen Mirren
2004,Annette Bening
2004,Ashley Judd
2004,Emmy Rossum
2004,Kate Winslet
2004,Renée Zellweger
2005,Reese Witherspoon
2005,Judi Dench
2005,Keira Knightley
2005,Laura Linney
2005,Sarah Jessica Parker
2006,Meryl Streep
2006,Annette Bening
2006,Toni Collette
2006,Beyoncé Knowles
2006,Renée Zellweger
2007,Marion Cotillard
2007,Amy Adams
2007,Nikki Blonsky
2007,Helena Bonham Carter
2007,Ellen Page
2008,Sally Hawkins
2008,Rebecca Hall
2008,Frances McDormand
2008,Meryl Streep
2008,Emma Thompson
2009,Meryl Streep
2009,Sandra Bullock
2009,Marion Cotillard
2009,Julia Roberts
2009,Meryl Streep
2010,Annette Bening
2010,Anne Hathaway
2010,Angelina Jolie
2010,Julianne Moore
2010,Emma Stone
2011,Michelle Williams
2011,Jodie Foster
2011,Charlize Theron
2011,Kristen Wiig
2011,Kate Winslet
2012,Jennifer Lawrence
2012,Emily Blunt
2012,Judi Dench
2012,Maggie Smith
2012,Meryl Streep
2013,Amy Adams
2013,Julie Delpy
2013,Greta Gerwig
2013,Julia Louis-Dreyfus
2013,Meryl Streep
2014,Amy Adams
2014,Emily Blunt
2014,Helen Mirren
2014,Julianne Moore
2014,Quvenzhané Wallis
2015,Jennifer Lawrence
2015,Melissa McCarthy
2015,Amy Schumer
2015,Maggie Smith
2015,Lily Tomlin
2016,Emma Stone
2016,Annette Bening
2016,Lily Collins
2016,Hailee Steinfeld
2016,Meryl Streep
