Actress,Oscar - Lost,Oscar - Won,GG (Drama) - Won,GG (Drama) - Lost,GG (Musical) - Won,GG (Musical) - Lost,CC - Won,CC - Lost,SAG - Won,SAG - Lost,BAFTA - Won,BAFTA - Lost
Amy Adams,1,0,0,0,2,1,0,1,0,1,0,2
Angelina Jolie,1,0,0,2,0,1,0,2,0,2,0,1
Anne Hathaway,1,0,0,1,0,1,0,0,0,1,0,0
Annette Bening,3,0,0,2,2,2,0,2,1,2,1,1
Brie Larson,0,1,1,0,0,0,1,1,1,0,1,0
Carey Mulligan,1,0,0,1,0,0,0,1,0,1,1,0
Catalina Sandino Moreno,1,0,0,0,0,0,0,1,0,1,0,0
Cate Blanchett,3,1,2,3,0,1,2,3,1,3,2,2
Charlize Theron,1,1,1,1,0,1,1,3,1,1,0,2
Charlotte Rampling,1,0,0,0,0,0,0,1,0,0,0,0
Diane Keaton,3,1,0,4,2,2,0,1,0,2,1,2
Diane Lane,1,0,0,1,0,1,0,1,0,1,0,0
Ellen Page,1,0,0,0,0,1,0,1,0,1,0,1
Emmanuelle Riva,1,0,0,0,0,0,0,1,0,0,1,0
Felicity Huffman,1,0,1,0,0,0,0,1,0,1,0,0
Felicity Jones,1,0,0,1,0,0,0,1,0,1,0,1
Gabourey Sidibe,1,0,0,1,0,0,0,1,0,1,0,1
Glenn Close,3,0,0,2,0,2,0,0,0,1,0,1
Helen Mirren,1,1,1,2,0,2,1,0,1,3,1,3
Hilary Swank,0,2,2,0,0,0,2,0,1,2,0,1
Imelda Staunton,1,0,0,1,0,0,0,1,0,1,1,0
Jennifer Lawrence,2,1,0,1,2,0,0,3,1,1,0,1
Jessica Chastain,1,0,1,0,0,0,1,0,0,1,0,1
Judi Dench,5,0,1,3,0,2,0,3,0,5,2,3
Julianne Moore,2,1,1,2,0,3,2,0,1,2,1,2
Julie Christie,3,1,1,1,0,1,1,0,1,0,0,3
Kate Winslet,3,1,0,3,0,2,0,2,0,4,1,3
Keira Knightley,1,0,0,1,0,1,0,1,0,0,0,1
Keisha Castle-Hughes,1,0,0,0,0,0,0,0,0,0,0,0
Laura Linney,2,0,0,1,0,1,0,0,0,1,0,0
Marion Cotillard,1,1,0,1,1,1,0,3,0,2,1,1
Melissa Leo,1,0,0,0,0,0,0,1,0,1,0,0
Meryl Streep,13,2,3,10,2,7,0,3,1,9,2,9
Michelle Williams,2,0,0,1,1,0,0,2,0,1,0,1
Naomi Watts,2,0,0,1,0,0,0,2,0,2,0,1
Natalie Portman,0,1,1,0,0,0,1,0,1,1,1,0
Nicole Kidman,2,1,1,4,2,0,1,4,0,2,1,2
Penélope Cruz,1,0,0,1,0,0,0,1,0,1,0,1
Quvenzhané Wallis,1,0,0,0,0,1,0,1,0,0,0,0
Reese Witherspoon,1,1,0,1,1,2,1,1,1,1,1,1
Renée Zellweger,2,0,0,0,2,3,0,0,1,1,0,2
Rooney Mara,1,0,0,2,0,0,0,0,0,0,0,0
Rosamund Pike,1,0,0,1,0,0,0,1,0,1,0,1
Salma Hayek,1,0,0,1,0,0,0,1,0,1,0,1
Samantha Morton,1,0,0,0,0,0,0,1,0,0,0,0
Sandra Bullock,1,1,1,1,0,3,0,1,1,1,0,1
Saoirse Ronan,1,0,0,1,0,0,0,2,0,1,0,2
Viola Davis,1,0,0,1,0,0,1,0,1,0,0,1
Emma Stone,0,0,0,0,1,1,0,1,1,0,0,0
Isabelle Huppert,0,0,0,0,0,0,0,1,0,0,0,0
Ruth Negga,0,0,0,1,0,0,0,1,0,0,0,0
