Name,Year,OscarWon,OscarLost,GGWon,GGLost,CCWon,CCLost,BAFTAWon,BAFTALost
Roman Polanski,2002,1,0,0,0,0,1,1,0
Pedro Almodóvar,2002,0,1,0,0,0,0,0,0
Stephen Daldry,2002,0,1,0,1,0,0,0,1
Martin Scorsese,2002,0,1,1,0,0,1,0,1
Rob Marshall,2002,0,1,0,1,0,0,0,1
Peter Weir,2003,0,1,0,1,0,0,1,0
Peter Jackson,2003,1,0,1,0,1,0,0,1
Clint Eastwood,2003,0,1,0,1,0,1,0,0
Fernando Meirelles,2003,0,1,0,0,0,0,0,0
Sofia Coppola,2003,0,1,0,1,0,1,0,1
Alexander Payne,2004,0,1,0,1,0,1,0,0
Taylor Hackford,2004,0,1,0,0,0,1,0,0
Martin Scorsese,2004,0,1,0,1,1,0,0,1
Clint Eastwood,2004,1,0,1,0,0,1,0,0
Mike Leigh,2004,0,1,0,0,0,0,1,0
Ang Lee,2005,1,0,1,0,1,0,1,0
Paul Haggis,2005,0,1,0,0,0,1,0,1
George Clooney,2005,0,1,0,1,0,1,0,1
Bennett Miller,2005,0,1,0,0,0,0,0,1
Steven Spielberg,2005,0,1,0,1,0,1,0,0
Paul Greengrass,2006,0,1,0,0,0,1,1,0
Stephen Frears,2006,0,1,0,1,0,1,0,1
Martin Scorsese,2006,1,0,1,0,1,0,0,1
Clint Eastwood,2006,0,1,0,1,0,1,0,0
Alejandro G. Iñárritu,2006,0,1,0,1,0,0,0,1
Joel Coen,2007,1,0,0,0,0,0,0,0
Julian Schnabel,2007,0,1,1,0,0,1,0,0
Tony Gilroy,2007,0,1,0,0,0,0,0,0
Jason Reitman,2007,0,1,0,0,0,0,0,0
Paul Thomas Anderson,2007,0,1,0,0,0,0,0,1
David Fincher,2008,0,1,0,1,0,1,0,1
Stephen Daldry,2008,0,1,0,1,0,0,0,1
Danny Boyle,2008,1,0,1,0,1,0,1,0
Ron Howard,2008,0,1,0,1,0,1,0,1
Gus Van Sant,2008,0,1,0,0,0,1,0,0
Lee Daniels,2009,0,1,0,0,0,1,0,0
Kathryn Bigelow,2009,1,0,0,1,1,0,1,0
Jason Reitman,2009,0,1,0,1,0,1,0,0
Quentin Tarantino,2009,0,1,0,1,0,1,0,1
James Cameron,2009,0,1,1,0,0,1,0,1
David Fincher,2010,0,1,1,0,1,0,1,0
Tom Hooper,2010,1,0,0,1,0,1,0,1
Joel Coen,2010,0,1,0,0,0,0,0,0
Darren Aronofsky,2010,0,1,0,1,0,1,0,1
David O. Russell,2010,0,1,0,1,0,0,0,0
Alexander Payne,2011,0,1,0,1,0,1,0,0
Michel Hazanavicius,2011,1,0,0,1,1,0,1,0
Terrence Malick,2011,0,1,0,0,0,0,0,0
Woody Allen,2011,0,1,0,1,0,0,0,0
Martin Scorsese,2011,0,1,1,0,0,1,0,1
Ang Lee,2012,1,0,0,1,0,1,0,1
Michael Haneke,2012,0,1,0,0,0,0,0,1
Steven Spielberg,2012,0,1,0,1,0,1,0,0
David O. Russell,2012,0,1,0,0,0,1,0,0
Benh Zeitlin,2012,0,1,0,0,0,0,0,0
Alexander Payne,2013,0,1,0,1,0,0,0,0
Steve McQueen,2013,0,1,0,1,0,1,0,1
Martin Scorsese,2013,0,1,0,0,0,1,0,1
Alfonso Cuarón,2013,1,0,1,0,1,0,1,0
David O. Russell,2013,0,1,0,1,0,1,0,1
Richard Linklater,2014,0,1,1,0,1,0,1,0
Alejandro G. Iñárritu,2014,1,0,0,1,0,1,0,1
Wes Anderson,2014,0,1,0,1,0,1,0,1
Bennett Miller,2014,0,1,0,0,0,0,0,0
Morten Tyldum,2014,0,1,0,0,0,0,0,0
Adam McKay,2015,0,1,0,0,0,0,0,1
Lenny Abrahamson,2015,0,1,0,0,0,0,0,0
George Miller,2015,0,1,0,1,1,0,0,0
Alejandro G. Iñárritu,2015,1,0,1,0,0,1,1,0
Tom McCarthy,2015,0,1,0,1,0,1,0,0
Denis Villeneuve,2016,0,1,0,0,0,1,0,1
Damien Chazelle,2016,1,0,1,0,1,0,1,0
Kenneth Lonergan,2016,0,1,0,1,0,1,0,1
Mel Gibson,2016,0,1,0,1,0,1,0,0
Barry Jenkins,2016,0,1,0,1,0,1,0,0
