Director,Oscar - Lost,Oscar - Won,GG - Won,GG - Lost,CC - Won,CC - Lost,BAFTA - Won,BAFTA - Lost
Adam McKay,0,0,0,0,0,0,0,1
Alejandro G. Iñárritu,1,0,1,1,0,2,1,1
Alexander Payne,3,0,0,4,0,2,0,0
Alfonso Cuarón,0,1,1,0,1,0,1,0
Ang Lee,1,2,2,2,1,1,2,2
Barry Jenkins,0,0,0,1,0,1,0,0
Benh Zeitlin,1,0,0,0,0,0,0,0
Bennett Miller,1,0,0,0,0,0,0,1
Clint Eastwood,2,2,3,4,0,4,0,2
Damien Chazelle,0,0,1,0,1,0,0,1
Danny Boyle,0,1,1,0,1,1,1,1
Darren Aronofsky,1,0,0,1,0,1,0,1
David Fincher,2,0,1,2,1,2,1,1
David O. Russell,3,0,0,2,0,2,0,1
Denis Villeneuve,0,0,0,0,0,1,0,0
Fernando Meirelles,1,0,0,1,0,0,0,1
George Clooney,1,0,0,2,0,1,0,1
George Miller,0,0,0,1,1,0,0,0
Gus Van Sant,2,0,0,0,0,1,0,0
James Cameron,1,1,2,0,1,1,0,2
Jason Reitman,2,0,0,1,0,1,0,0
Joel Coen,2,1,2,0,1,1,2,0
Julian Schnabel,1,0,1,0,0,0,0,0
Kathryn Bigelow,0,1,0,2,0,1,1,1
Kenneth Lonergan,0,0,0,1,1,1,0,0
Lee Daniels,1,0,0,0,0,1,0,0
Lenny Abrahamson,0,0,0,0,0,1,0,0
Martin Scorsese,7,1,3,5,0,0,1,8
Mel Gibson,0,1,1,1,2,3,0,1
Michael Haneke,1,0,0,0,1,1,0,1
Michel Hazanavicius,0,1,0,1,0,0,1,0
Mike Leigh,2,0,0,0,1,0,1,1
Morten Tyldum,0,0,0,0,0,0,0,0
Paul Greengrass,1,0,0,1,0,0,1,2
Paul Haggis,1,0,0,0,0,2,0,1
Paul Thomas Anderson,1,0,0,0,0,1,0,1
Pedro Almodóvar,1,0,0,0,0,0,1,0
Peter Jackson,1,1,1,3,0,0,1,2
Peter Weir,4,0,0,4,1,1,2,1
Quentin Tarantino,2,0,0,3,0,0,0,3
Richard Linklater,0,0,1,0,0,1,1,0
Rob Marshall,1,0,0,1,1,0,0,1
Roman Polanski,2,1,1,1,0,0,2,0
Ron Howard,1,1,0,3,0,1,0,2
Sofia Coppola,1,0,0,1,1,2,0,1
Stephen Daldry,3,0,0,2,0,1,0,3
Stephen Frears,2,0,0,1,0,1,0,2
Steve McQueen,1,0,0,1,0,1,0,1
Steven Spielberg,5,2,2,9,0,1,1,5
Taylor Hackford,1,0,0,0,2,4,0,0
Terrence Malick,2,0,0,1,0,1,0,0
Tom Hooper,0,1,0,1,0,0,0,1
Tom McCarthy,0,0,0,1,0,2,0,0
Tony Gilroy,1,0,0,0,0,1,0,0
Wes Anderson,0,0,0,1,0,0,0,1
Woody Allen,6,1,0,5,0,1,2,2
