"","Director","pred.probs"
"1","Roman Polanski",0.913139019595787
"2","Pedro Almodóvar",0.409421780741066
"3","Stephen Daldry",0.014621527490145
"4","Rob Marshall",0.0430332289357415
"5","Martin Scorsese",0.261979706612048
"6","Peter Jackson",0.387010438102776
"7","Sofia Coppola",0.0160341496403156
"8","Clint Eastwood",0.23319903609046
"9","Fernando Meirelles",0.0765784165918961
"10","Peter Weir",0.225251020387544
"11","Clint Eastwood",0.23319903609046
"12","Taylor Hackford",0.0063375260804682
"13","Mike Leigh",0.182046442143565
"14","Alexander Payne",0.0300209222188211
"15","Martin Scorsese",0.261979706612048
"16","Ang Lee",0.812947107076715
"17","George Clooney",0.0406129818257719
"18","Paul Haggis",0.0342259460893882
"19","Bennett Miller",0.0890839475149668
"20","Steven Spielberg",0.111072499696047
"21","Martin Scorsese",0.261979706612048
"22","Clint Eastwood",0.23319903609046
"23","Stephen Frears",0.0287074843259534
"24","Paul Greengrass",0.170855068235004
"25","Alejandro G. Iñárritu",0.349551673789863
"26","Joel Coen",0.945183961662515
"27","Paul Thomas Anderson",0.0555977874620756
"28","Tony Gilroy",0.0904422719312248
"29","Jason Reitman",0.0777623384031215
"30","Julian Schnabel",0.413084565314194
"31","Danny Boyle",0.363408700690521
"32","Stephen Daldry",0.014621527490145
"33","David Fincher",0.198144007635625
"34","Ron Howard",0.0208104931106409
"35","Gus Van Sant",0.0904422719312248
"36","Kathryn Bigelow",0.150862351516891
"37","James Cameron",0.255472695512811
"38","Lee Daniels",0.0904422719312248
"39","Jason Reitman",0.0777623384031215
"40","Quentin Tarantino",0.0204744060072282
"41","Tom Hooper",0.0765784165918961
"42","Darren Aronofsky",0.047547647566216
"43","Joel Coen",0.945183961662515
"44","David Fincher",0.198144007635625
"45","David O. Russell",0.0248497481552787
"46","Michel Hazanavicius",0.370224170392467
"47","Woody Allen",0.212092324249286
"48","Terrence Malick",0.0777623384031215
"49","Alexander Payne",0.0300209222188211
"50","Martin Scorsese",0.261979706612048
"51","Ang Lee",0.812947107076715
"52","Michael Haneke",0.0309352772201807
"53","David O. Russell",0.0248497481552787
"54","Steven Spielberg",0.111072499696047
"55","Benh Zeitlin",0.141764714099837
"56","Alfonso Cuarón",0.615643947177242
"57","Steve McQueen",0.047547647566216
"58","Alexander Payne",0.0300209222188211
"59","David O. Russell",0.0248497481552787
"60","Martin Scorsese",0.261979706612048
"61","Alejandro G. Iñárritu",0.349551673789863
"62","Wes Anderson",0.0765784165918961
"63","Richard Linklater",0.640051520051432
"64","Bennett Miller",0.0890839475149668
"65","Morten Tyldum",0.141764714099837
"66","Alejandro G. Iñárritu",0.349551673789863
"67","Lenny Abrahamson",0.0904422719312248
"68","Tom McCarthy",0.048306225227212
"69","Adam McKay",0.0890839475149668
"70","George Miller",0.0705918002951663
"71","Damien Chazelle",0.184309899360671
"72","Mel Gibson",0.0221622821230548
"73","Barry Jenkins",0.0777623384031215
"74","Kenneth Lonergan",0.0437230896114046
"75","Denis Villeneuve",0.0904422719312248
