"","name","pred.probs","winner","year"
"1","moonlight",0.197711377294793,1,2016
"2","arrival",0.000494166592640053,0,2016
"3","fences",0.000730806257769145,0,2016
"4","hacksaw-ridge",0.00271101467415861,0,2016
"5","hell-or-high-water",0.0475303094981487,0,2016
"6","hidden-figures",0.00534989558958091,0,2016
"7","la-la-land",0.105427993839525,0,2016
"8","lion",0.00325190875847096,0,2016
"9","manchester-by-the-sea",0.0157656310148363,0,2016
"10","spotlight",0.705304326432831,1,2015
"11","the-big-short",0.0555437508935477,0,2015
"12","bridge-of-spies",0.03685181086708,0,2015
"13","brooklyn",0.113426547696841,0,2015
"14","mad-max-fury-road",0.0503394103377706,0,2015
"15","the-martian",0.0722972211008988,0,2015
"16","the-revenant",0.317881934370548,0,2015
"17","room",0.0979408213480419,0,2015
"18","birdman",0.0123887648254996,1,2014
"19","american-sniper",0.398706233475972,0,2014
"20","boyhood",0.68234422151906,0,2014
"21","the-grand-budapest-hotel",0.0685098324273749,0,2014
"22","the-imitation-game",0.0107880739093318,0,2014
"23","selma",0.0747877048894141,0,2014
"24","the-theory-of-everything",0.0317177604344668,0,2014
"25","whiplash",0.193319295121843,0,2014
"26","12-years-a-slave",0.970877175958819,1,2013
"27","american-hustle",0.0315874064560985,0,2013
"28","captain-phillips",0.150958102460438,0,2013
"29","dallas-buyers-club",0.0650847857402443,0,2013
"30","gravity",0.263388312953453,0,2013
"31","her",0.0207635206335344,0,2013
"32","nebraska",0.0217157556507852,0,2013
"33","philomena",0.0122007904655213,0,2013
"34","the-wolf-of-wall-street",0.0858846117422076,0,2013
"35","argo",0.80474214905841,1,2012
"36","amour",0.107828801037375,0,2012
"37","beasts-of-the-southern-wild",0.0296260421012258,0,2012
"38","django-unchained",0.131765450480759,0,2012
"39","les-miserables",0.00488826543364047,0,2012
"40","life-of-pi",0.0291855719987996,0,2012
"41","lincoln",0.0532352590839457,0,2012
"42","silver-linings-playbook",0.0865654148360434,0,2012
"43","zero-dark-thirty",0.416411919143458,0,2012
"44","the-artist",0.448938205085473,1,2011
"45","the-descendants",0.0772287474453875,0,2011
"46","extremely-loud-and-incredibly-close",6.85669194873898e-05,0,2011
"47","the-help",0.00471989043450674,0,2011
"48","hugo",0.00233254963421081,0,2011
"49","midnight-in-paris",0.00545728135599576,0,2011
"50","moneyball",0.100845407814668,0,2011
"51","the-tree-of-life",0.000936507864203074,0,2011
"52","war-horse",0.00386583986107216,0,2011
"53","the-kings-speech",0.922857352830946,1,2010
"54","127-hours",0.0378461550162418,0,2010
"55","black-swan",0.0301241906119661,0,2010
"56","the-fighter",0.0200907690500076,0,2010
"57","inception",0.15975440830564,0,2010
"58","the-kids-are-all-right",0.00214127642435878,0,2010
"59","the-social-network",0.762195931914208,0,2010
"60","toy-story-3",0.0619862361369399,0,2010
"61","true-grit",0.00615627527655162,0,2010
"62","winters-bone",0.00982883245009922,0,2010
"63","the-hurt-locker",0.429635970641952,1,2009
"64","avatar",0.173558000043588,0,2009
"65","the-blind-side",0.000970955131658286,0,2009
"66","district-9",0.00209894676226091,0,2009
"67","an-education",0.00697266963034087,0,2009
"68","inglourious-basterds",0.0012649375030962,0,2009
"69","precious",0.00419657416851302,0,2009
"70","a-serious-man",0.000153788861068294,0,2009
"71","up",0.0588080245457861,0,2009
"72","up-in-the-air",0.00670309032743545,0,2009
"73","slumdog-millionaire",0.79071010774036,1,2008
"74","the-curious-case-of-benjamin-button",0.0151541585365234,0,2008
"75","frost/nixon",0.00975703032581585,0,2008
"76","milk",0.0768696970360511,0,2008
"77","the-reader",0.00296499295819716,0,2008
"78","no-country-for-old-men",0.17325975566405,1,2007
"79","atonement",0.11383166141591,0,2007
"80","juno",0.114191497068203,0,2007
"81","michael-clayton",0.000140363230855359,0,2007
"82","there-will-be-blood",0.151897122013234,0,2007
"83","the-departed",0.554476433933573,1,2006
"84","babel",0.00455734170419027,0,2006
"85","letters-from-iwo-jima",0.0579443411264061,0,2006
"86","little-miss-sunshine",0.0396943086244099,0,2006
"87","the-queen",0.0399670967755624,0,2006
"88","crash",0.103358404841139,1,2005
"89","brokeback-mountain",0.455787546450265,0,2005
"90","capote",0.0945051982309653,0,2005
"91","good-night-and-good-luck",0.00465163154321416,0,2005
"92","munich",0.00945662596218123,0,2005
"93","million-dollar-baby",0.438368916909559,1,2004
"94","the-aviator",0.0130416506080069,0,2004
"95","finding-neverland",0.00188637001040054,0,2004
"96","ray",0.0242697765778004,0,2004
"97","sideways",0.0202627901394086,0,2004
"98","the-lord-of-the-rings-the-return-of-the-king",0.60446723690075,1,2003
"99","lost-in-translation",0.0650938849960673,0,2003
"100","master-and-commander-the-far-side-of-the-world",0.0177991249465958,0,2003
"101","mystic-river",0.138439914753873,0,2003
"102","seabiscuit",0.00115414950209664,0,2003
"103","chicago",0.190161190512104,1,2002
"104","gangs-of-new-york",0.0127286903406648,0,2002
"105","the-hours",0.0393147570675803,0,2002
"106","the-lord-of-the-rings-the-two-towers",0.390779004297027,0,2002
"107","the-pianist",0.299489696804509,0,2002
