Adrien Brody
Andrew Garfield
Benedict Cumberbatch
Ben Kingsley
Bill Murray
Bruce Dern
Bryan Cranston
Casey Affleck
Chiwetel Ejiofor
Christian Bale
Clint Eastwood
David Strathairn
Demián Bichir
Don Cheadle
Forest Whitaker
Frank Langella
Gary Oldman
Heath Ledger
Hugh Jackman
Jack Nicholson
James Franco
Jamie Foxx
Javier Bardem
Jean Dujardin
Jeremy Renner
Jesse Eisenberg
Jude Law
Matt Damon
Matthew McConaughey
Michael Caine
Michael Fassbender
Michael Keaton
Mickey Rourke
Morgan Freeman
Nicolas Cage
Peter O'Toole
Philip Seymour Hoffman
Richard Jenkins
Steve Carell
Terrence Howard
Tommy Lee Jones
Will Smith
